2026-09-11T13:20:00Z	measure	decomposed what the controller actually sizes from, and it is not the forecast of load	the earlier explanation, a train-serve level shift, would have sent the work into instance normalisation; the measurement says otherwise	live /predict on the serving artifact: a flat window at 68 returns point 74.1 and upper envelope 134.2; the daemon consumes max(upper) = 134, which is 1.97x the level; across six window shapes the ratio runs 1.21x to 2.73x	the inflation is the one-sided envelope plus taking its global maximum, not a level mismatch
2026-09-11T13:25:00Z	run	measured the online skill of each candidate signal against what actually arrived 135 seconds later	the point forecast and the envelope are different quantities and the controller treats them as one	from the recorded S4 daemon logs: envelope signal MAE 52.4 rps and point forecast MAE 42.2 rps, against persistence 32.6 and 37.0 respectively; the envelope signal averages 103.6 rps and the point forecast 86.9 against an observed 67.6	sizing from the point forecast removes about a third of the error; persistence is still better than both
2026-09-11T13:30:00Z	fix	reverted the level-anchor experiment after it failed its own live check	shipping a calibration for a mechanism that measurement contradicts is worse than shipping nothing	git checkout of the three predictor files; the anchor test removed; the measurement that killed it kept in this trail	reverted
2026-09-11T13:40:00Z	fix	made the sizing signal and the under-forecast lever explicit, defaulting to current behaviour	two levers, each addressing a measured defect: which forecast quantity sizes capacity, and whether to ask for less than it	apps/routing/routing/daemon/service.py; tests assert the capacity signal the controller sizes from, including one that records the envelope path taking the global maximum and ignoring horizon alignment	committed, 5 tests pass
2026-09-11T13:45:00Z	run	queued the two S4 variants behind the baseline bundle	the testbed is single-tenant and the baselines are still running	hub process s4-ab-variants: point sizing, then point sizing with a 0.85 under-forecast, three runs each against the recorded five-run baseline	waiting
2026-09-11T15:05:00Z	fix	made the experiment's conditions part of its specification	the same code produced opposite answers on 2026-07-14 and 2026-09-11 because the cluster carried a spare agent the second time, so the node autoscaler never fired and the reactive arm paid no provisioning penalty	apps/experiment/experiment/profiles.py; the profile's conditions are recorded in the bundle as a profile_applied event; infra ensure and infra shape-nodes converge the testbed	committed
2026-09-11T15:10:00Z	fix	made the prediction server's identity part of the experiment	both observed server failures were silent: the GPU abort failed every eligible forecast, and a stale artifact forecasts a different series; each produced a run that looked successful	the server reports the sha256 of what it serves; the supervisor replaces a server whose artifact differs and always starts it CPU-only	committed, 4 tests
2026-09-11T15:15:00Z	fix	made results readable and re-runs idempotent	a bundle should answer what ran and what it concluded without a reader decoding JSON, and a resumed command must not repeat expensive work or silently skip it	SUMMARY.md per bundle; reproduce skips pairs and runs already valid and appends the missing ones; exit code 1 when a gate rejects a run	committed, 16 tests in apps/experiment and 9 in libs/infra
2026-09-11T15:20:00Z	find	the node-state read was wrong, so ensure reported starting a running cluster	a wrong key reads as not-running and makes every convergence report a change it did not make, which is how a 'repeatable' command stops being trustworthy	k3d nests state under State with a Status inside; libs/infra/infra/cluster/k3d/shaping.py read a flat state; fixed with a test asserting the real shape	committed
2026-09-11T15:25:00Z	run	queued one smoke pair before the constrained H2 run	the documented one-command path should be exercised on the testbed before it is trusted with a five-pair experiment	hub process constrained-pair: reproduce --profile smoke, then reproduce --profile h2-pair with one static agent	waiting for the baseline and variant chains
2026-09-11T16:10:00Z	find	the S3/S4 pair tested the pod tier, not the node tier	no pod ever went pending, so the node autoscaler never fired, the reactive arm paid no provisioning penalty, and prediction had nothing to warm; the comparison looked clean and measured a different question	provision_events.json holds autoscaler_started and autoscaler_stopped only, against pending_detected and node_created twice per run in the July and August bundles	committed as a gate: an S3/S4 run that never engages the node tier is now rejected
2026-09-11T16:15:00Z	find	the serverless tail is contaminated by host load, not by the arm	p50 held at 70 ms in every run while the tail swung from 6 to 2846 requests over the 200 ms SLO on identical configuration	load average 23 on 8 cores during the runs; omp alone at 446% CPU and a 17k-node graph rebuild after each commit; the graphify-hub watcher also fires on the files the runs create	queued: pause the watcher for the run window, stop committing, and read node_engagement in the smoke pair before spending four hours
2026-09-11T16:20:00Z	find	cost does not separate the arms, and the node tier is the largest single cost line	the hybrid arms sit within half a percent of each other per million requests both with and without the node tier, while the node tier itself is 65 percent of a run's infrastructure cost when it engages	2026-07-14 bundle: dynamic nodes 0.0274 of 0.0419 total per run, s3 0.902 and s4 0.900 per million; tonight with no provisioning the same row is 0.0000 and 0.814 against 0.810	recorded
2026-09-12T10:45:00Z	find	S1's tail is bimodal in the n1 regime, so an S1 p99 is only comparable with its capacity stated	the conditioned S1 runs measure 3399.8 ms and 8682.2 ms with one static agent, while the same scenario measured 110.6-144.1 ms whenever the node tier had already engaged and 113.6 ms in the 2026-07-11 n1 bundle that provisioned two dynamic nodes; the July/August bundles ran two static agents with an explicit calibration override of max_k8s_replicas=10, so their spare capacity absorbed the 60-92 s provisioning delay that the current one-agent, max-6 regime spends with pods Pending	node_created timestamps versus k6_start: Jul 13 +376.3 s, Aug 9 +329.8 s (in-window but absorbed), conditioned Sep 11 +75.1 s and +122.5 s; commit 7050ccf changed the HPA cap 10->6 to match '2 nodes x 3 pods' and prevent S1 from provisioning dynamic nodes; July bundles override max_k8s_replicas back to 10 via calibration.json
2026-09-12T10:45:00Z	find	the canary bundle carried two p-values for one pair	the paired analysis tests the thesis direction (S4 faster than S3, lower tail) and the summary counted the tail in the direction the effect happened to run, so the same pair read p=1.0 in paired_analysis.json and p=0.5 in SUMMARY.md; a bundle that quotes both is indefensible	one exact directional implementation now serves both (all 2^n sign flips for n<=20), the observed arrangement is counted so p cannot be 0, the sampled floor is 1/(n+1), and Cohen's d for one pair reports undefined instead of falling through to 'large'
2026-09-12T11:30:00Z	find	the Prometheus export carries daemon metrics only, so app and cluster corroboration is absent	every run in the current bundle exports 85 points for the routing daemon's counters and replica gauges but zero points for prom_rps, prom_p99_ms, cpu_usage_cores, memory_usage_bytes, pods_pending_count and node_count_schedulable; the same emptiness holds in the 2026-09-11, 2026-08-09 and 2026-07-13 bundles, so it is long-standing rather than a fresh-stack regression	live probe of the running Prometheus: 3 active targets (node-exporter, prometheus itself, routing-daemon :9104); http_requests_total, http_request_duration_seconds_bucket, container_cpu_usage_seconds_total, kube_pod_status_phase and kube_node_spec_unschedulable all return 0 series, while routing_daemon_decision_total returns 4; the k3d scrape jobs exist in libs/infra/infra/observability/prometheus/prometheus.yaml but discover no targets
2026-09-12T11:30:00Z	note	which evidence is authoritative for the H2 verdict	the verdict rests on evidence that is present: k6's own summary for latency and SLO violations, provision_events.json plus node_engagement for the node tier, kubectl-top pollers for utilisation, and the daemon's own exported metrics for routing decisions; the Prometheus app/cluster series are corroboration that is currently unavailable, and the Demand Complexity Index falls back to the summary estimate because its demand series (prom_rps) is empty	workload_analysis.analyze_workload_from_experiment reads prom_rps and returns the documented summary fallback when it is absent; fixing the scrape config (app /metrics, cAdvisor, kube-state-metrics) would make DCI computed rather than estimated, but it restarts Prometheus and must not be done while a series is measuring
